check,status,details
no_search_category_tag_archive_urls,pass,
no_raw_technical_scoring_in_report,pass,
no_low_priority_stories,pass,
no_sports_unless_exceptional,pass,
no_weather_or_fishing_bulletins,pass,
no_daily_price_listings,pass,
no_duplicate_stories,pass,
thematic_structure_enabled,pass,
all_dates_inside_window,pass,
every_story_has_section,pass,
every_story_has_priority,pass,
every_story_has_relevance_score,pass,
every_story_has_valid_source,pass,
every_story_has_inclusion_reason,pass,
section_relevance_consistency,pass,
no_empty_or_meaningless_headlines,pass,
polished_english_report_mode,pass,
pics_style_concise_bullets,pass,
no_al_menassa_or_other_search_pages,pass,
no_unrelated_international_items,pass,
